"Table 1.2 Occupational projections, 2023–33, and worker characteristics, 2023 (Numbers in thousands)",,,,,,,,,,,,,,,
2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content
"      Grounds maintenance workers, all other",37-3019,Line item,14.1,14.6,0.0,0.0,0.5,3.8,—,2.0,"43,310",No formal educational credential,None,Short-term on-the-job training,OOH Content
  Personal care and service occupations,39-0000,Summary,"4,346.2","4,622.3",2.6,2.6,276.1,6.4,21.6,794.5,"34,260",—,—,—,—
    Supervisors of personal care and service workers,39-1000,Summary,312.4,341.1,0.2,0.2,28.7,9.2,26.6,36.4,"47,550",—,—,—,—
      First-line supervisors of entertainment and recreation workers,39-1010,Summary,156.5,169.4,0.1,0.1,12.9,8.3,24.7,18.0,"48,430",—,—,—,—
        First-line supervisors of gambling services workers,39-1013,Line item,33.2,34.9,0.0,0.0,1.7,5.2,21.6,3.7,"61,210",High school diploma or equivalent,Less than 5 years,None,OOH Content
"        First-line supervisors of entertainment and recreation workers, except gambling services",39-1014,Line item,123.3,134.6,0.1,0.1,11.2,9.1,25.5,14.4,"46,060",High school diploma or equivalent,Less than 5 years,None,—
      First-line supervisors of personal service workers,39-1022,Line item,155.9,171.7,0.1,0.1,15.8,10.1,28.6,18.4,"46,690",High school diploma or equivalent,Less than 5 years,None,—
    Animal care and service workers,39-2000,Summary,422.5,486.8,0.3,0.3,64.3,15.2,25.0,84.5,"31,830",—,—,—,—
      Animal trainers,39-2011,Line item,57.9,61.6,0.0,0.0,3.7,6.4,39.9,8.8,"38,810",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Animal caretakers,39-2021,Line item,364.6,425.2,0.2,0.2,60.6,16.6,22.6,75.8,"31,200",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
    Entertainment attendants and related workers,39-3000,Summary,644.5,669.7,0.4,0.4,25.1,3.9,1.5,169.6,"29,840",—,—,—,—
      Gambling services workers,39-3010,Summary,110.9,113.9,0.1,0.1,3.0,2.7,4.1,19.0,"32,240",—,—,—,—
        Gambling dealers,39-3011,Line item,86.8,89.6,0.1,0.1,2.8,3.2,4.0,15.0,"32,240",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
        Gambling and sports book writers and runners,39-3012,Line item,9.6,9.4,0.0,0.0,-0.2,-2.4,4.6,1.6,"29,170",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"        Gambling service workers, all other",39-3019,Line item,14.5,14.9,0.0,0.0,0.4,2.9,4.3,2.5,"32,710",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
      Motion picture projectionists,39-3021,Line item,2.6,2.5,0.0,0.0,-0.1,-5.0,—,0.7,"35,160",No formal educational credential,None,Short-term on-the-job training,—
"      Ushers, lobby attendants, and ticket takers",39-3031,Line item,119.7,122.7,0.1,0.1,3.1,2.6,—,33.6,"29,780",No formal educational credential,None,Short-term on-the-job training,—
      Miscellaneous entertainment attendants and related workers,39-3090,Summary,411.4,430.6,0.2,0.2,19.2,4.7,1.3,116.3,"29,560",—,—,—,—
        Amusement and recreation attendants,39-3091,Line item,381.5,398.6,0.2,0.2,17.1,4.5,1.2,107.7,"29,390",No formal educational credential,None,Short-term on-the-job training,—
        Costume attendants,39-3092,Line item,6.5,7.0,0.0,0.0,0.5,7.1,1.4,1.9,"52,370",High school diploma or equivalent,None,Short-term on-the-job training,—
"        Locker room, coatroom, and dressing room attendants",39-3093,Line item,15.5,16.7,0.0,0.0,1.2,8.0,1.3,4.5,"33,450",High school diploma or equivalent,None,Short-term on-the-job training,—
"        Entertainment attendants and related workers, all other",39-3099,Line item,7.9,8.3,0.0,0.0,0.4,5.2,1.2,2.2,"33,280",High school diploma or equivalent,None,Short-term on-the-job training,—
    Funeral service workers,39-4000,Summary,64.8,66.9,0.0,0.0,2.1,3.3,1.3,9.3,"38,080",—,—,—,—
      Embalmers and crematory operators,39-4010,Summary,6.7,6.9,0.0,0.0,0.2,2.9,—,1.1,"47,830",—,—,—,—
        Embalmers,39-4011,Line item,3.4,3.5,0.0,0.0,0.0,1.2,—,0.5,"54,090",Associate's degree,None,Long-term on-the-job training,—
        Crematory operators,39-4012,Line item,3.2,3.4,0.0,0.0,0.2,4.7,—,0.5,"41,670",High school diploma or equivalent,None,Short-term on-the-job training,—
      Funeral attendants,39-4021,Line item,32.9,33.9,0.0,0.0,1.1,3.2,—,5.2,"33,850",High school diploma or equivalent,None,Short-term on-the-job training,—
"      Morticians, undertakers, and funeral arrangers",39-4031,Line item,25.3,26.1,0.0,0.0,0.9,3.5,3.4,3.0,"51,030",Associate's degree,None,Long-term on-the-job training,OOH Content
    Personal appearance workers,39-5000,Summary,964.7,"1,045.4",0.6,0.6,80.8,8.4,44.7,132.9,"34,930",—,—,—,—
"      Barbers, hairdressers, hairstylists and cosmetologists",39-5010,Summary,649.4,694.8,0.4,0.4,45.3,7.0,52.0,89.1,"35,080",—,—,—,—
        Barbers,39-5011,Line item,78.4,83.3,0.0,0.0,5.0,6.4,79.5,9.1,"36,150",Postsecondary nondegree award,None,None,OOH Content
"        Hairdressers, hairstylists, and cosmetologists",39-5012,Line item,571.1,611.4,0.3,0.4,40.3,7.1,48.2,80.0,"34,970",Postsecondary nondegree award,None,None,OOH Content
      Miscellaneous personal appearance workers,39-5090,Summary,315.2,350.7,0.2,0.2,35.5,11.2,29.6,43.9,"34,810",—,—,—,—
"        Makeup artists, theatrical and performance",39-5091,Line item,7.4,8.1,0.0,0.0,0.7,9.4,44.6,1.2,"47,390",Postsecondary nondegree award,None,None,—
        Manicurists and pedicurists,39-5092,Line item,212.7,237.8,0.1,0.1,25.1,11.8,31.9,27.7,"34,250",Postsecondary nondegree award,None,None,OOH Content
        Shampooers,39-5093,Line item,13.3,14.5,0.0,0.0,1.3,9.5,44.5,2.2,"29,530",No formal educational credential,None,Short-term on-the-job training,—
        Skincare specialists,39-5094,Line item,81.8,90.2,0.0,0.1,8.4,10.3,19.8,12.8,"43,200",Postsecondary nondegree award,None,None,OOH Content
"    Baggage porters, bellhops, and concierges",39-6000,Summary,71.3,73.7,0.0,0.0,2.4,3.3,—,11.2,"36,260",—,—,—,—
      Baggage porters and bellhops,39-6011,Line item,29.5,29.6,0.0,0.0,0.1,0.5,—,4.5,"34,840",High school diploma or equivalent,None,Short-term on-the-job training,—
      Concierges,39-6012,Line item,41.8,44.0,0.0,0.0,2.3,5.4,—,6.7,"37,150",High school diploma or equivalent,None,Moderate-term on-the-job training,—
    Tour and travel guides,39-7000,Summary,56.3,61.7,0.0,0.0,5.3,9.5,12.7,14.2,"36,060",—,—,—,—
      Tour and travel guides,39-7010,Line item,56.3,61.7,0.0,0.0,5.3,9.5,12.7,14.2,"36,060",High school diploma or equivalent,None,Moderate-term on-the-job training,—
    Other personal care and service workers,39-9000,Summary,"1,809.7","1,877.0",1.1,1.1,67.3,3.7,16.7,336.4,"34,690",—,—,—,—
      Childcare workers,39-9011,Line item,970.8,957.8,0.6,0.5,-13.0,-1.3,22.9,162.5,"30,370",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
      Recreation and fitness workers,39-9030,Summary,650.1,714.2,0.4,0.4,64.0,9.9,8.6,137.4,"37,000",—,—,—,—
        Exercise trainers and group fitness instructors,39-9031,Line item,350.1,397.7,0.2,0.2,47.5,13.6,15.8,73.7,"46,480",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
        Recreation workers,39-9032,Line item,300.0,316.5,0.2,0.2,16.5,5.5,0.2,63.7,"34,410",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
      Residential advisors,39-9041,Line item,95.7,100.7,0.1,0.1,5.0,5.2,0.1,18.6,"37,950",High school diploma or equivalent,None,Short-term on-the-job training,—
"      Personal care and service workers, all other",39-9099,Line item,93.1,104.4,0.1,0.1,11.3,12.1,25.3,17.9,"36,980",High school diploma or equivalent,None,Short-term on-the-job training,—
  Sales and related occupations,41-0000,Summary,"14,609.5","14,319.5",8.7,8.2,-290.0,-2.0,7.4,"1,817.3","36,760",—,—,—,—
    Supervisors of sales workers,41-1000,Summary,"1,755.1","1,668.7",1.0,1.0,-86.4,-4.9,24.4,152.3,"49,020",—,—,—,—
      First-line supervisors of retail sales workers,41-1011,Line item,"1,407.4","1,316.9",0.8,0.8,-90.5,-6.4,22.4,124.1,"46,730",High school diploma or equivalent,Less than 5 years,None,—
      First-line supervisors of non-retail sales workers,41-1012,Line item,347.8,351.9,0.2,0.2,4.1,1.2,32.6,28.2,"84,570",High school diploma or equivalent,Less than 5 years,None,—
    Retail sales workers,41-2000,Summary,"7,841.8","7,512.8",4.7,4.3,-329.0,-4.2,2.0,"1,197.9","31,940",—,—,—,—
      Cashiers,41-2010,Summary,"3,360.2","3,006.2",2.0,1.7,-354.0,-10.5,0.4,569.5,"29,740",—,—,—,—
        Cashiers,41-2011,Line item,"3,338.8","2,985.7",2.0,1.7,-353.1,-10.6,0.4,565.6,"29,720",No formal educational credential,None,Short-term on-the-job training,OOH Content
        Gambling change persons and booth cashiers,41-2012,Line item,21.4,20.5,0.0,0.0,-0.9,-4.3,—,3.9,"33,230",No formal educational credential,None,Short-term on-the-job training,—
      Counter and rental clerks and parts salespersons,41-2020,Summary,671.5,692.0,0.4,0.4,20.4,3.0,0.4,75.9,"37,200",—,—,—,—
        Counter and rental clerks,41-2021,Line item,403.7,420.8,0.2,0.2,17.1,4.2,0.3,46.1,"37,400",No formal educational credential,None,Short-term on-the-job training,—
        Parts salespersons,41-2022,Line item,267.9,271.2,0.2,0.2,3.3,1.2,0.6,29.7,"36,860",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
      Retail salespersons,41-2031,Line item,"3,810.1","3,814.7",2.3,2.2,4.5,0.1,3.6,552.5,"33,680",No formal educational credential,None,Short-term on-the-job training,OOH Content
"    Sales representatives, services",41-3000,Summary,"2,412.3","2,518.8",1.4,1.4,106.6,4.4,4.7,224.3,"63,150",—,—,—,—
      Advertising sales agents,41-3011,Line item,111.6,104.2,0.1,0.1,-7.4,-6.6,3.1,10.3,"61,270",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Insurance sales agents,41-3021,Line item,547.6,581.0,0.3,0.3,33.4,6.1,11.0,47.1,"59,080",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Securities, commodities, and financial services sales agents",41-3031,Line item,513.8,547.9,0.3,0.3,34.1,6.6,4.9,41.0,"76,900",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
      Travel agents,41-3041,Line item,68.8,71.2,0.0,0.0,2.3,3.4,15.0,8.2,"47,410",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,Line item,"1,170.3","1,214.5",0.7,0.7,44.2,3.8,1.3,117.7,"64,600",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"    Sales representatives, wholesale and manufacturing",41-4000,Summary,"1,681.4","1,701.4",1.0,1.0,20.0,1.2,2.9,149.9,"73,080",—,—,—,—
"      Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Line item,325.3,335.3,0.2,0.2,10.0,3.1,2.9,29.9,"99,710",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
"      Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Line item,"1,356.1","1,366.1",0.8,0.8,10.0,0.7,2.9,120.0,"65,630",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
    Other sales and related workers,41-9000,Summary,918.9,917.8,0.5,0.5,-1.1,-0.1,37.1,92.9,"47,990",—,—,—,—
"      Models, demonstrators, and product promoters",41-9010,Summary,60.1,62.8,0.0,0.0,2.7,4.6,7.7,11.3,"37,190",—,—,—,—
        Demonstrators and product promoters,41-9011,Line item,56.5,59.2,0.0,0.0,2.8,4.9,7.8,10.6,"36,970",No formal educational credential,None,Short-term on-the-job training,—
        Models,41-9012,Line item,3.6,3.6,0.0,0.0,0.0,-0.4,6.6,0.6,"47,430",No formal educational credential,None,None,OOH Content
      Real estate brokers and sales agents,41-9020,Summary,544.4,554.5,0.3,0.3,10.1,1.9,53.1,46.0,"56,620",—,—,—,—
        Real estate brokers,41-9021,Line item,113.6,115.8,0.1,0.1,2.2,2.0,53.7,9.6,"63,060",High school diploma or equivalent,Less than 5 years,None,OOH Content
        Real estate sales agents,41-9022,Line item,430.7,438.7,0.3,0.3,7.9,1.8,53.0,36.4,"54,300",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Sales engineers,41-9031,Line item,59.7,63.4,0.0,0.0,3.7,6.3,0.1,5.8,"116,950",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
      Telemarketers,41-9041,Line item,85.2,66.8,0.1,0.0,-18.3,-21.5,3.2,8.0,"34,480",No formal educational credential,None,Short-term on-the-job training,—
      Miscellaneous sales and related workers,41-9090,Summary,169.7,170.3,0.1,0.1,0.6,0.3,25.9,21.9,"44,100",—,—,—,—
"        Door-to-door sales workers, news and street vendors, and related workers",41-9091,Line item,32.4,27.7,0.0,0.0,-4.8,-14.6,80.9,3.6,"34,910",No formal educational credential,None,Short-term on-the-job training,—
"        Sales and related workers, all other",41-9099,Line item,137.2,142.6,0.1,0.1,5.3,3.9,12.9,18.3,"44,610",High school diploma or equivalent,None,None,—
  Office and administrative support occupations,43-0000,Summary,"19,671.9","18,975.6",11.7,10.9,-696.3,-3.5,2.0,"2,073.7","44,480",—,—,—,—
    Supervisors of office and administrative support workers,43-1000,Summary,"1,570.5","1,501.4",0.9,0.9,-69.1,-4.4,0.7,138.1,"63,450",—,—,—,—
      First-line supervisors of office and administrative support workers,43-1011,Line item,"1,570.5","1,501.4",0.9,0.9,-69.1,-4.4,0.7,138.1,"63,450",High school diploma or equivalent,Less than 5 years,None,—
    Communications equipment operators,43-2000,Summary,51.1,38.6,0.0,0.0,-12.5,-24.5,—,3.3,"37,030",—,—,—,—
"      Switchboard operators, including answering service",43-2011,Line item,44.9,33.6,0.0,0.0,-11.3,-25.2,—,2.7,"36,750",High school diploma or equivalent,None,Short-term on-the-job training,—
      Telephone operators,43-2021,Line item,4.7,3.5,0.0,0.0,-1.2,-26.4,—,0.4,"38,080",High school diploma or equivalent,None,Short-term on-the-job training,—
"      Communications equipment operators, all other",43-2099,Line item,1.4,1.5,0.0,0.0,0.1,5.1,—,0.2,"49,310",High school diploma or equivalent,None,Short-term on-the-job training,—
    Financial clerks,43-3000,Summary,"2,942.6","2,763.0",1.8,1.6,-179.5,-6.1,3.2,289.0,"45,790",—,—,—,—
      Bill and account collectors,43-3011,Line item,196.5,177.8,0.1,0.1,-18.6,-9.5,2.0,17.0,"44,250",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Billing and posting clerks,43-3021,Line item,449.0,451.3,0.3,0.3,2.3,0.5,1.7,45.3,"45,590",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Bookkeeping, accounting, and auditing clerks",43-3031,Line item,"1,663.8","1,579.9",1.0,0.9,-83.9,-5.0,4.9,174.9,"47,440","Some college, no degree",None,Moderate-term on-the-job training,OOH Content
      Gambling cage workers,43-3041,Line item,13.1,12.7,0.0,0.0,-0.5,-3.7,0.8,1.3,"36,110",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
      Payroll and timekeeping clerks,43-3051,Line item,160.3,136.2,0.1,0.1,-24.2,-15.1,0.2,12.8,"52,240",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Procurement clerks,43-3061,Line item,63.3,59.1,0.0,0.0,-4.2,-6.7,—,5.2,"46,670",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Tellers,43-3071,Line item,350.3,298.8,0.2,0.2,-51.4,-14.7,0.3,27.3,"37,640",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Financial clerks, all other",43-3099,Line item,46.2,47.3,0.0,0.0,1.1,2.3,1.3,5.1,"49,940",High school diploma or equivalent,None,Short-term on-the-job training,—
    Information and record clerks,43-4000,Summary,"5,764.4","5,576.9",3.4,3.2,-187.5,-3.3,0.9,698.3,"39,030",—,—,—,—
      Brokerage clerks,43-4011,Line item,49.7,48.2,0.0,0.0,-1.4,-2.8,1.3,5.5,"60,150",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Correspondence clerks,43-4021,Line item,5.5,5.1,0.0,0.0,-0.4,-6.7,12.7,0.6,"42,120",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Court, municipal, and license clerks",43-4031,Line item,165.1,171.4,0.1,0.1,6.3,3.8,—,17.1,"46,110",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
"      Credit authorizers, checkers, and clerks",43-4041,Line item,14.5,13.7,0.0,0.0,-0.8,-5.2,0.6,1.1,"48,000",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Customer service representatives,43-4051,Line item,"2,954.6","2,805.8",1.8,1.6,-148.8,-5.0,0.6,365.3,"39,680",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Eligibility interviewers, government programs",43-4061,Line item,160.0,164.9,0.1,0.1,5.0,3.1,0.3,14.1,"50,270",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      File clerks,43-4071,Line item,87.2,73.9,0.1,0.0,-13.3,-15.3,2.1,8.3,"38,130",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Hotel, motel, and resort desk clerks",43-4081,Line item,271.3,290.2,0.2,0.2,18.9,7.0,0.1,45.9,"30,790",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Interviewers, except eligibility and loan",43-4111,Line item,169.1,152.5,0.1,0.1,-16.7,-9.9,1.0,17.4,"40,300",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Library assistants, clerical",43-4121,Line item,87.7,82.7,0.1,0.0,-5.0,-5.7,—,13.5,"34,020",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
      Loan interviewers and clerks,43-4131,Line item,206.1,201.2,0.1,0.1,-4.9,-2.4,—,16.3,"47,380",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
      New accounts clerks,43-4141,Line item,42.2,36.0,0.0,0.0,-6.2,-14.6,—,2.6,"44,630",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Order clerks,43-4151,Line item,106.3,87.3,0.1,0.1,-19.0,-17.9,13.6,9.3,"41,600","Some college, no degree",None,Short-term on-the-job training,OOH Content
"      Human resources assistants, except payroll and timekeeping",43-4161,Line item,104.2,99.2,0.1,0.1,-5.0,-4.8,0.1,10.5,"47,710",Associate's degree,None,None,OOH Content
      Receptionists and information clerks,43-4171,Line item,"1,054.5","1,048.8",0.6,0.6,-5.7,-0.5,1.0,137.8,"35,840",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
      Reservation and transportation ticket agents and travel clerks,43-4181,Line item,123.8,128.5,0.1,0.1,4.7,3.8,1.6,13.6,"40,610",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Information and record clerks, all other",43-4199,Line item,162.8,167.4,0.1,0.1,4.7,2.9,0.5,19.5,"46,210",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"    Material recording, scheduling, dispatching, and distributing workers",43-5000,Summary,"2,472.9","2,436.9",1.5,1.4,-36.0,-1.5,6.6,224.3,"46,590",—,—,—,—
      Cargo and freight agents,43-5011,Line item,106.7,117.0,0.1,0.1,10.3,9.7,0.7,11.1,"48,330",High school diploma or equivalent,None,Short-term on-the-job training,—
      Couriers and messengers,43-5021,Line item,225.5,244.3,0.1,0.1,18.8,8.3,67.1,25.8,"36,710",High school diploma or equivalent,None,Short-term on-the-job training,—
      Dispatchers,43-5030,Summary,318.1,322.6,0.2,0.2,4.5,1.4,1.5,31.1,"47,530",—,—,—,—
        Public safety telecommunicators,43-5031,Line item,102.7,106.8,0.1,0.1,4.1,4.0,1.1,11.5,"48,890",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Dispatchers, except police, fire, and ambulance",43-5032,Line item,215.4,215.7,0.1,0.1,0.4,0.2,1.7,19.6,"46,860",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"      Meter readers, utilities",43-5041,Line item,20.4,18.1,0.0,0.0,-2.3,-11.4,—,1.3,"47,720",High school diploma or equivalent,None,Short-term on-the-job training,—
      Postal service workers,43-5050,Summary,502.6,482.0,0.3,0.3,-20.5,-4.1,—,35.8,"56,510",—,—,—,—
        Postal service clerks,43-5051,Line item,74.6,72.4,0.0,0.0,-2.2,-3.0,—,6.1,"59,570",No formal educational credential,None,Short-term on-the-job training,OOH Content
        Postal service mail carriers,43-5052,Line item,316.7,307.1,0.2,0.2,-9.5,-3.0,—,21.9,"56,330",No formal educational credential,None,Short-term on-the-job training,OOH Content
"        Postal service mail sorters, processors, and processing machine operators",43-5053,Line item,111.3,102.5,0.1,0.1,-8.7,-7.9,—,7.8,"53,440",No formal educational credential,None,Short-term on-the-job training,OOH Content
"      Production, planning, and expediting clerks",43-5061,Line item,399.2,418.7,0.2,0.2,19.5,4.9,0.5,41.6,"53,900",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Shipping, receiving, and inventory clerks",43-5071,Line item,848.7,784.2,0.5,0.4,-64.4,-7.6,0.4,71.6,"39,780",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,51.8,50.1,0.0,0.0,-1.7,-3.3,2.2,6.0,"43,270",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
    Secretaries and administrative assistants,43-6000,Summary,"3,421.4","3,449.8",2.0,2.0,28.4,0.8,0.9,367.5,"46,010",—,—,—,—
      Executive secretaries and executive administrative assistants,43-6011,Line item,516.1,517.2,0.3,0.3,1.2,0.2,0.1,52.6,"70,310",High school diploma or equivalent,Less than 5 years,None,OOH Content
      Legal secretaries and administrative assistants,43-6012,Line item,154.2,146.3,0.1,0.1,-7.9,-5.1,—,18.1,"50,680",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Medical secretaries and administrative assistants,43-6013,Line item,768.9,810.1,0.5,0.5,41.3,5.4,0.1,82.4,"40,640",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,"1,982.3","1,976.2",1.2,1.1,-6.1,-0.3,1.5,214.4,"44,280",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
    Other office and administrative support workers,43-9000,Summary,"3,449.0","3,209.0",2.1,1.8,-240.1,-7.0,1.3,353.2,"40,950",—,—,—,—
      Data entry and information processing workers,43-9020,Summary,203.8,147.6,0.1,0.1,-56.2,-27.6,3.0,13.8,"38,970",—,—,—,—
        Data entry keyers,43-9021,Line item,163.9,122.8,0.1,0.1,-41.0,-25.0,2.9,11.6,"37,790",High school diploma or equivalent,None,Short-term on-the-job training,—
        Word processors and typists,43-9022,Line item,39.9,24.8,0.0,0.0,-15.2,-38.0,3.7,2.2,"46,450",High school diploma or equivalent,None,Short-term on-the-job training,—
      Desktop publishers,43-9031,Line item,6.4,5.6,0.0,0.0,-0.9,-13.4,14.8,0.5,"51,290",Associate's degree,None,Short-term on-the-job training,OOH Content
      Insurance claims and policy processing clerks,43-9041,Line item,271.8,261.3,0.2,0.1,-10.5,-3.9,0.1,22.3,"46,900",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Mail clerks and mail machine operators, except postal service",43-9051,Line item,70.6,66.2,0.0,0.0,-4.4,-6.2,0.3,7.6,"36,880",High school diploma or equivalent,None,Short-term on-the-job training,—
"      Office clerks, general",43-9061,Line item,"2,645.8","2,498.2",1.6,1.4,-147.5,-5.6,0.6,284.6,"40,480",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Office machine operators, except computer",43-9071,Line item,29.2,24.8,0.0,0.0,-4.4,-15.1,2.0,3.2,"37,450",High school diploma or equivalent,None,Short-term on-the-job training,—
      Proofreaders and copy markers,43-9081,Line item,6.7,6.5,0.0,0.0,-0.2,-3.4,12.3,1.0,"48,790",Bachelor's degree,None,None,—
      Statistical assistants,43-9111,Line item,7.9,7.9,0.0,0.0,0.0,0.2,—,0.9,"50,510",Bachelor's degree,None,None,—
"      Office and administrative support workers, all other",43-9199,Line item,206.8,190.8,0.1,0.1,-16.0,-7.7,8.8,19.2,"43,230",High school diploma or equivalent,None,Short-term on-the-job training,—
"  Farming, fishing, and forestry occupations",45-0000,Summary,982.9,964.5,0.6,0.6,-18.4,-1.9,8.2,145.2,"35,520",—,—,—,—
"    Supervisors of farming, fishing, and forestry workers",45-1000,Summary,68.9,71.0,0.0,0.0,2.1,3.1,8.8,9.8,"57,320",—,—,—,—
"      First-line supervisors of farming, fishing, and forestry workers",45-1011,Line item,68.9,71.0,0.0,0.0,2.1,3.1,8.8,9.8,"57,320",High school diploma or equivalent,Less than 5 years,None,—
    Agricultural workers,45-2000,Summary,827.9,810.1,0.5,0.5,-17.8,-2.1,6.0,123.1,"34,910",—,—,—,—
      Agricultural inspectors,45-2011,Line item,13.3,13.9,0.0,0.0,0.5,3.9,—,2.2,"48,010",Bachelor's degree,None,Moderate-term on-the-job training,—
      Animal breeders,45-2021,Line item,6.7,6.9,0.0,0.0,0.2,2.4,3.1,1.1,"47,540",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Graders and sorters, agricultural products",45-2041,Line item,32.2,30.6,0.0,0.0,-1.5,-4.7,—,4.5,"34,360",No formal educational credential,None,Short-term on-the-job training,—
      Miscellaneous agricultural workers,45-2090,Summary,775.7,758.7,0.5,0.4,-16.9,-2.2,6.4,115.3,"34,790",—,—,—,—
        Agricultural equipment operators,45-2091,Line item,62.7,68.0,0.0,0.0,5.3,8.4,7.0,10.5,"39,690",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
"        Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Line item,497.3,485.4,0.3,0.3,-11.9,-2.4,8.0,73.7,"34,470",No formal educational credential,None,Short-term on-the-job training,OOH Content
"        Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,204.7,194.1,0.1,0.1,-10.6,-5.2,2.3,29.4,"35,120",No formal educational credential,None,Short-term on-the-job training,OOH Content
"        Agricultural workers, all other",45-2099,Line item,11.0,11.3,0.0,0.0,0.3,2.5,6.4,1.7,"40,620",No formal educational credential,None,Short-term on-the-job training,OOH Content
    Fishing and hunting workers,45-3000,Summary,25.5,25.3,0.0,0.0,-0.2,-0.7,36.8,3.5,—,—,—,—,—
      Fishing and hunting workers,45-3031,Line item,25.5,25.3,0.0,0.0,-0.2,-0.7,36.8,3.5,—,No formal educational credential,None,Moderate-term on-the-job training,OOH Content
"    Forest, conservation, and logging workers",45-4000,Summary,60.7,58.1,0.0,0.0,-2.6,-4.3,26.1,8.8,"46,910",—,—,—,—
      Forest and conservation workers,45-4011,Line item,10.9,10.5,0.0,0.0,-0.4,-3.8,6.7,2.1,"33,940",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Logging workers,45-4020,Summary,49.8,47.6,0.0,0.0,-2.2,-4.4,30.4,6.7,"48,910",—,—,—,—
        Fallers,45-4021,Line item,6.9,6.3,0.0,0.0,-0.6,-8.4,30.5,0.9,"53,170",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
